,title,body,url
0,Latest Headlines on CNN Business,,https://www.cnn.com/business/media
1,Travel News - CNN,"Sand surfing the tallest sand dune in North America, diving into Caribbean blue waters and rock climbing an entire city of rocks. Meet the adventurous side of Idaho.",https://www.cnn.com/travel/news
2,"Fashion, beauty, design, art, architecture and luxury","Plastic surgery has become synonymous with the quest for youth and beauty, albeit with varying degrees of success. But the field has, for centuries, been driven by medical necessity -- and it has nothing to do with plastic.",http://www.cnn.com/interactive/2013/02/world/war-and-fashion/
3,Desert dancers highlight Andean culture,"Story highlights Photographer Andres Figueroa spent a week in one of the driest places on Earth

He took portraits of Chileans who dress up in costume for popular religious festivals

(CNN) South America's Atacama Desert, one of the driest places on Earth, resembles some of the faraway planets monitored by giant telescopes there.

The lack of humidity provides optimal conditions to watch the sky and study the origins of the universe.

""It is pure visual silence,"" said photographer Andres Figueroa . ""It is amazing. There is absolutely no humidity, and (these conditions) create some striking contrasts.""

There, in that clear, inhospitably arid environment, Figueroa turned his camera lens toward another discussion on cosmology, one rooted in the ancient folklore of the Andean people.

Taking along his mobile lighting studio, Figueroa photographed a series of religious festivals that take place every July in the Atacama. In his ""Dancers of the Deserts"" series, Figueroa chronicles these festivals, which attract about 200,000 people to some otherwise quiet mining towns in Chile.

Read More",https://www.cnn.com/2015/04/07/world/cnnphotos-dancers-atacama-desert-chile/index.html
4,Dads cherish Sweden's parental leave,"Story highlights Johan Bavman photographed fathers in Sweden, which has generous parental leave

Sweden's policies encourage fathers to take just as much leave as mothers

(CNN) When photographer Johan Bavman became a father for the first time, he took more than a passing wonder about how his native Sweden is said to be the most generous nation on Earth for parental leave.

He immersed himself in fatherhood -- twice over, you might say.

He used his photography to document the real-life experience of other fathers taking full advantage of Sweden's extraordinary program, which allows mothers and fathers to take long, long leaves from their careers so they can care for their newborns.

Get this: Sweden grants a total of 480 calendar days of parental leave, with 390 of them paid at 80% of income, with a maximum of 3,160 euros a month or $3,474. The remaining 90 days are paid at a flat-rate benefit of 20 euros a day, or $22.

But there's a catch. Fathers have to share that leave with mothers.

Read More",https://www.cnn.com/2015/04/05/living/cnnphotos-swedish-dads-parental-leave/index.html
5,Making a 'squat' a home,"It's an idea that intrigues German-born photographer Corinna Kern , who moved into a squatted commercial building for several months in order to document the uncommon lifestyle unfolding behind its walls.

She first visited a squat -- a building occupied by people who don't own it or pay rent -- out of personal interest in April 2013, while she was in London studying for her master's degree.

The notion that this interest could be developed into a wider concept only came along a month or two later, she said. The result is a striking collection of photographs and text titled ""A Place Called Home,"" in which she seeks to challenge common preconceptions about squatters -- and explore the idea that home is more a feeling than a physical place.

Having moved into her new home in a squat in Kentish Town, north London, Kern had to figure out how to coexist in one building with 30 people and three dogs. She also found herself part of a wider alternative community that's both transient and close-knit.

Through the connections she made, she visited six other squats in north and south London. One was in a former fabric warehouse, another in an abandoned garden center, a third in a white-walled former design studio.

""As the squatting scene is very interconnected, I came to discover how diverse squats can be, both in their visual appearance and emotional vibe,"" she said. ""The unusualness of the different places, which may not comply with the idea of home in the common sense, intrigued me and shaped my project.""

All the squats Kern visited were in former commercial premises. A law enacted in September 2012 made it illegal to squat in residential properties.

I came to discover how diverse squats can be, both in their visual appearance and emotional vibe. Corinna Kern

With housing costs high in London and affordable options in short supply, squatting can seem an appealing option to some people -- although, as Kern points out, it's not a lifestyle chosen simply because of homelessness or poverty.

""What might commonly be perceived as a shelter for the homeless or poor is often a conscious choice of an alternative and communal way of living,"" she writes in the text accompanying her images.

""The squatting lifestyle attracts many individuals on their search for adventure, freedom, friendship and self-discovery. Yet, it demands sacrifices and the ability to change and adapt.""

The squatters' campaign group SQUASH (Squatters' Action for Secure Homes) says no one knows how many squatters there are nationwide at any one time. But it is clear that tens of thousands of people in the UK have squatted at one time or another, it says.

Social media Follow @CNNPhotos on Twitter to join the conversation about photography.

The Empty Homes Agency, an independent charity group that campaigns for empty homes to be used for those in need, estimates that there are currently 610,000 empty homes in England. About one-third of these homes have been empty for six or more months, it says.

But since it's now illegal to squat in residential properties, empty or not, squatters have turned to London's disused commercial buildings, many of which have been left empty long-term.

When squatters move in, they bring a new life to the space, often surprising in its incongruity. In one of Kern's photographs, taken inside the disused fabric warehouse, a man rests on a shelf used for storing rolls of cloth. He's hard to spot at first among the jumble of multicolored fabric.

Other images show ""The Castle,"" a former five-story office block in central London that is now a home for more than 100 squatters -- and a site for raves. Graffiti covers the walls, and party detritus is scattered across the floor where office workers once walked.

Another of Kern's photographs, taken in a squat in a former cabaret restaurant, shows a young man and woman, semi-clothed and hard at work to repair and alter their surroundings using cloth and wood.

For her project, Kern says, she used only a wide-angle lens to reflect the closeness of her subjects. ""The use of natural light adds to a candid feel,"" she said, adding to the authenticity of the images.

""I visually tried to convey the very different vibes of the squats that became homes, according to both their residents and the nature of the occupied spaces. Especially for the squat that I stayed at, I focused largely on the communal lifestyle in order to convey a sense of home.""

Far from encountering resistance as she ventured into people's intimate space, Kern says she made many friends. This was in part because she won people's trust by living among them -- but also because her project aimed to celebrate the positive aspects of their lifestyle rather than reinforce the negative stereotypes of squatters as wasters, tax dodgers or down-and-outs.

""My fellow squatters knew that I was a photographer documenting the squatting lifestyle, since I was always carrying my camera with me,"" she said.

""The squatters were very welcoming when I first met them, became my friends, hence the majority reacted positively towards me taking photographs.""

Despite the privations that come with squatting in buildings that often have no electricity or running water, Kern says she would do it again -- although she wants to try out the many other alternative lifestyles out there first.

From her images and her words, it's clear she found her time in a squat an overwhelmingly rewarding experience.

""You may not have a shower, but you may gain the most amazing rooftop views,"" she writes. ""You may have to share your room with seven other people, but you may share your happiest moments with them. You may have to move 10 times a year, but the diverse places and people you meet become an integral part of your journey through life, turning it into anything but ordinary.""",https://www.cnn.com/2015/02/08/living/cnnphotos-a-place-called-home/index.html
6,Amazon natives hold on to tradition,"Story highlights Photographer Trupal Pandya took portraits of the Huaorani people in Ecuador's rainforest

The community is beginning to modernize, but it still maintains its traditional ways of living

(CNN) Deep within the Amazonian rainforest of Ecuador live the Huaorani.

Photographer Trupal Pandya traveled about 30 hours by air, water and land to reach this native community and take their portraits.

The Huaorani, which means ""the people"" or ""human beings,"" are believed to have inhabited the rainforest for thousands of years. Until about the 1960s, they never had any contact with the outside world.

Pandya said there is a contrast between the modernization of the younger generation, who travel to areas outside of their community, and the older generation, who make efforts to maintain their traditional ways of living.

Diverse changes have taken place within the community: the introduction of radios within many Huaorani homes, the consumption of food from cities and the adoption of Westernized clothing. For Pandya, these changes were a significant factor in his decision to photograph the Huaorani.

Read More",https://www.cnn.com/2015/03/31/world/cnnphotos-huaorani-rainforest-ecuador/index.html
7,A glimpse of life on the reservation,"Story highlights German photographer Felix von der Osten spent time at an Indian reservation in Montana

He set out to show the ""beauty and richness of the culture"" and arouse curiosity in viewers

(CNN) Growing up in Germany, everything Felix von der Osten learned about Native Americans came from the books of 19th-century German writer Karl May.

May's most beloved characters, a noble Apache leader named Winnetou and his cowboy blood brother Old Shatterhand, are said to be more popular today in Germany than the works of Thomas Mann, the 20th-century Nobel Prize-winning author of ""Death in Venice.""

It wasn't until von der Osten drove through South Dakota last year, bearing witness to modest homes and trailers on tribal land in the majestic Black Hills, that he realized how one-dimensional his perceptions were.

Intrigued, the 25-year-old photographer began researching Native American history. What he learned about its brutal conquest and fraught modern existence inspired him to return to Indian Country to capture the good, the bad and the ugly.

""I wanted to show a slice of life (through) the beauty and richness of the culture,"" he said. ""I didn't want to do reportage. I wanted to do slow and thoughtful photographs, like historical documents.""

Read More",https://www.cnn.com/2015/03/29/living/cnnphotos-montana-indian-reservation/index.html
8,Girls behind bars tell their stories,"(CNN) When photographer Richard Ross wants to talk to a child at a juvenile detention center, he knocks on their cell door. He asks them if he can come inside.

The 67-year-old Californian is used to taking off his shoes when he enters homes, so he does the same in a cell.

""Most of the kids, they've never had that kind of respect,"" he said. ""But I give it to them, I give them the power. I sit on the floor so they're looking down on me.""

Ross doesn't begin by hammering them with questions. He wants to have a conversation.

""I say, 'What's gone on in your life?' ""

The result of that tenderness and patience is Ross' latest collection of photos, ""Girls in Justice.""

The images are unflinching. They convey the ugliness of a young person's life behind bars. The pictures are replete with the unique loneliness, anger and boredom of a juvenile detention center. But the girls also tell their stories alongside the images.

Photographer Richard Ross

One photo shows a girl in a tan jumpsuit, hand on her head, sitting alone in a drab, cavernous room.

""I've been here 17 times,"" one girl says.

Many of the stories are bleak, reflecting adults who endangered the girls or, at the very least, failed repeatedly to protect them.

""Mom's a stripper. Dad was an alcoholic, drug addict, murdered last year,"" said one girl explaining her past. ""They took my brother and I away because my dad chained us in the house and tried to burn it down. I lived with my grandma and uncle. The people who are supposed to love you never do.""

The photos show girls wasting the day in their bunks, staring at the wall. Some struggle with mental illness. The girls obscure their faces or are turned away from the camera. That works to protect their identities, but it also evokes shame. Ross seems to be saying the shame isn't the girls' -- it's ours as a society for jailing children.

His images aren't always literal. A photo shot toward an azure sky is framed by concertina wire. A straight-forward photo, of a utility wall holding dozens of scissors, turns the stomach after reading the caption -- the guards need the scissors to cut away any cloth a teenager might use to trying to hang herself.

Social media Follow @CNNPhotos on Twitter to join the conversation about photography.

Ross recalled one particularly agonizing interview with a girl who kept telling him, ""I can't wait to get out of here so I can kill myself.""

""She was just a kid, but she was at that place where you have no hope,"" he said. ""I feel all these stories, but that one just hit me hard. I was sobbing. You want to say, 'It will get better,' but you also know the system and you know that you can't say that.""

Ross, the son of a New York City police officer, had a happy upbringing in a home of modest means. He got into a decent amount of trouble growing up, and he said he could have easily wound up in the justice system.

But times were different then, he said, and there's been a cultural turn in America toward criminalizing a child's bad behavior.

He recalls a detention-center director in Reno, Nevada, who asked him to visit and take photos. At intake, he photographed a fifth-grader who had been taken to jail because he had acted up in class.

You want to say, 'It will get better,' but you also know the system and you know that you can't say that. Richard Ross

""This fifth-grader came up to my belt buckle,"" Ross recalled. ""He was drinking warm milk, like someone gave him a cardboard thing of milk. I can still smell that milk. That intake area smelled like elementary school.""

The child's single mother couldn't pick him up for hours. She was holding down a job that wouldn't allow her to leave until after 6 p.m.

The detention-center director sent Ross' photo to every principal in the area to make a point: Children do not belong in lockup, so find another solution.

Ross is adamant that he's making photographs to bring about ""immediate change.""

He speaks across the country to law schools and works closely with child welfare advocates. His work has been shown during legislative sessions to illustrate how sorely the juvenile justice system needs fixing.

""I'm trying to wake people up, make them realize there are lives at stake,"" he said. ""At the same time, I don't, I can't, position myself as the great hope. I might not be able to do much but listen. But I think I'm a good listener, and I think these kids deserve to tell their stories.""",https://www.cnn.com/2015/03/26/us/cnnphotos-girls-behind-bars/index.html
9,Giving a face to Sudan's refugee crisis,"But he never experienced any like the Mayo camp, which is outside the Sudanese capital of Khartoum.

Ten Hoopen was at the camp to photograph a new medical clinic for Emergency, a humanitarian group from Italy. He also hoped to document what life was like for refugees there.

His hopes were dashed, however, when he was told he couldn't photograph outside the hospital compound.

""I had very, very hard restrictions from the Sudanese government. ... They are very well-skilled in keeping the media at bay,"" ten Hoopen said.

With no freedom of movement, much like the refugees themselves, ten Hoopen resorted to an old trick he had used before while traveling in Africa. With the help of refugee hospital workers, he built a makeshift photo studio using hospital bed sheets and other materials available.

Photographer Pieter ten Hoopen

The studio quickly became a sensation. Once hospital employees volunteered to have their photo taken, lines of refugees began snaking around the hospital grounds waiting to have their portraits taken.

One by one, these people sat solemnly to be photographed. It was their time to be acknowledged. There was gravity, earnestness to the way they posed. This was the moment their story would be registered.

""This was one of the reasons why I built the studio: to get more material and more narratives from the people,"" ten Hoopen said.

The project quickly became a catalog of the history and identity of the refugees.

The photos span several generations -- some of the subjects were born at the refugee camp, some have been there for decades. Women wearing the traditional Sudanese tobe spell out their class and origin by the way it is wrapped. From the Muslim north, women are fully covered -- a contrast to women from the Christian south, who we also see represented in these photos.

Whether from Sudan, South Sudan or Eritrea, the faces become, individually and collectively, a portrait of the endless wars that have shaped the Horn of Africa.

Social media Follow @CNNPhotos on Twitter to join the conversation about photography.

The word refugee often conjures up images of faceless crowds fleeing conflict, their existence only registered in terms of statistics and graphs. Ten Hoopen wanted to give his subjects the ability to express themselves freely.

""They got very serious, they sat down upright. ... I tried to say as little as possible,"" he said. ""I do believe in their own expressions, their own narrative ... and their unique perspective.""

The studio had a comforting effect. It was a haven from the hustling and bustling of the camp hospital. It gave the photographer an opportunity to meet his subject matter eye to eye, giving each person their deserved attention. Aesthetically, it created an aura around each person, beaming light on his or her personal narrative. It had some uplifting effects as well.

""I always try to put some extra thought to (projects). So I build classic photo studios like they have in any small towns in the African continent or in Europe ... just to give people a little bit of the feeling they are special for a short time and that someone really photographs them in an official way,"" ten Hoopen said.

He said some patients at the hospital ""had being laying there for months in their room. ... Then you take them out, it's a little treat to get them out of their own misery. ... That's why you see the line growing, because they see people laughing when they come out of the studio.""

I build classic photo studios ... just to give people a little bit of the feeling they are special for a short time and that someone really photographs them in an official way. Pieter ten Hoopen

Ten-month-old Buseiwa was not laughing when she entered the studio. Having just had a blood test for malaria, she clearly looked uneasy. Gazing to someone who is holding her hand, her eyes connect with this parental figure as a source of strength.

Hawa Haranan, 40, came from the war-torn Darfur region before getting a job as a cleaner at the hospital. As she wears a simple tobe, one can almost see the emotions behind her leonine stare. Her life and struggle, as with the other individuals photographed, is accounted for with the testimony of a camera.

Ten Hoopen used tilt-shift lenses, which are normally used with the large-format cameras used in classic photography.

""I really can appreciate old portraiture ... when people got their portrait taken in a way that was loaded, I think, with respect and it was a very serious moment,"" he said. ""It's a slow way of working where you have to put all your focus into one person sitting in front of you.""

How did ten Hoopen gain the trust of so many uneasy refugees, some severely traumatized and living in fear?

""It wasn't hard,"" he said. ""I just told them to relax and have fun.

""Kids sometimes got nervous, and I don't blame them. I am a tall, white, bald European guy. ... I am not only funny to look at, but it is hot in that country so I am usually very red when I am photographing. ... I have tattoos everywhere. ... They thought I was a quite interesting creature.""",https://www.cnn.com/2015/03/24/world/cnnphotos-sudan-refugees-portraits/index.html
